,ncm_ind,volume_raw,volume,perimeter_raw,perimeter,dist_from_center,dist_mean,contact_area,contact_area_mean,contact_area_extended_pore,contact_area_extended_ncm,concated_pore_number
24,24,[2494.0],2494.0,[743.8254626989365],743.8254626989365,"[[590.7706830911635, 589.8754105741314, 589.8754105741314, 589.4276885250641, 588.5337713334724, 588.5337713334724, 586.7469642017758, 586.7469642017758, 586.7469642017758, 585.8540773947042, 585.8540773947042, 586.305381179467, 586.305381179467, 586.7469642017758]]",[587.7373935276344],38.65685415267944,4.83210676908493,59.38477599620819,186.50141775608063,2
25,25,[2996.0],2996.0,[894.1513636112213],894.1513636112213,"[[175.35392781457733, 174.88853593074649, 174.42763542512407, 174.42763542512407, 173.08090593707902, 173.08090593707902, 172.1772342674838, 173.07223925286226, 171.73234989366446, 172.19175357722565, 171.29214809792072, 170.85666507338834, 170.85666507338834, 170.42593699317015, 170.85666507338834]]",[172.5814135848148],27.462840795516968,3.923262970788138,70.78312170505524,170.73496317863464,3
26,26,[8977.0],8977.0,[2356.41037273407],2356.41037273407,"[[229.6366695456107, 229.6366695456107, 229.6366695456107, 228.26519664635694, 228.26519664635694, 228.26519664635694, 227.40712389896672, 227.40712389896672, 227.40712389896672, 226.03539545832197, 226.03539545832197, 225.17770760001977, 225.17770760001977, 224.32119828495925, 224.32119828495925, 222.9484245290825, 222.9484245290825, 222.0923231451281, 222.0923231451281, 221.23742902140225, 220.38375620721234, 220.38375620721234, 220.38375620721234, 219.8635940759634, 220.7192787229969, 220.7192787229969, 219.8635940759634, 219.8635940759634, 218.4902743830947, 218.4902743830947, 219.0091322296858, 218.15590755237412, 218.15590755237412, 218.15590755237412]]",[223.26330909640433],53.45651185512543,10.691302371025085,106.24733626842499,147.25342786312103,4
27,27,[26898.5],26898.5,[4442.618858575821],4442.618858575821,"[[648.7526493202166, 648.7526493202166, 648.7526493202166, 648.7526493202166, 649.4189710810733, 649.4189710810733, 649.4189710810733, 649.3419746173814, 649.3419746173814, 650.0107691415582, 650.6804131061576, 651.3509038912896, 651.3509038912896, 650.6097140375326, 650.6097140375326, 650.5420816519097, 650.5420816519097, 649.8030470842684, 650.4775169058497, 650.4775169058497, 650.4775169058497, 650.4775169058497, 649.7399479791895, 649.7399479791895, 650.4160207128973, 650.4160207128973, 649.6799211919666, 649.6799211919666, 649.6799211919666, 649.6229675742692, 648.9445276755171, 648.2098425664332, 648.2098425664332, 648.2098425664332, 647.4758682761852, 647.4758682761852, 646.062690456584, 646.062690456584, 644.6495171796843, 644.6495171796843, 644.6495171796843, 643.9704962185767, 643.9704962185767, 643.9704962185767, 643.9704962185767, 646.1772202732003]]",[648.5868424768902],630.5008689165115,18.54414320342681,1018.0726960897446,1936.9561593532562,21
28,28,[14093.5],14093.5,[3056.5242820978165],3056.5242820978165,"[[348.76926470089074, 348.76926470089074, 346.0014450836875, 346.0014450836875, 344.5489805528381, 344.5489805528381, 343.629160578668, 341.6694308831272, 341.6694308831272, 339.83819679370947, 339.83819679370947, 339.3287491504367, 339.3287491504367, 339.3287491504367, 338.4154251803543, 338.4154251803543, 338.4154251803543, 337.50259258263486, 337.50259258263486, 337.50259258263486, 337.50259258263486, 337.0014836762592, 337.91271062213684, 338.4154251803543, 338.4154251803543, 337.0014836762592, 337.0014836762592, 337.0014836762592, 336.5055720192461, 336.5055720192461, 335.5964838909967, 335.5964838909967, 335.1074454559313, 335.1074454559313, 335.5294323900662, 335.1074454559313, 335.47727195743084]]",[339.2380902203715],199.74285662174225,24.96785707771778,296.2295140028,547.8880717754364,12
29,29,[52119.0],52119.0,[6312.645331740379],6312.645331740379,"[[794.2254088103704, 794.2254088103704, 795.4533298692011, 796.1312705829359, 796.809889496861, 796.809889496861, 796.809889496861, 796.0760013968516, 796.0760013968516, 795.3426934347232, 796.0232408667475, 796.0232408667475, 796.0232408667475, 796.0232408667475, 796.0232408667475, 796.755922475635, 796.755922475635, 796.755922475635, 797.4891848796447, 797.4891848796447, 797.4891848796447, 798.2230264781892, 798.2230264781892, 799.6924408796172, 800.42801050438, 798.2793997091494, 798.2793997091494, 798.2793997091494, 798.2793997091494, 797.5443561332498, 796.8663626982883, 796.8663626982883, 796.8663626982883, 796.8663626982883, 796.1890479025694, 796.1890479025694, 794.8364611666981, 794.8364611666981, 794.1611927058638, 793.423594305085, 792.7483837889548, 792.0107322505169, 793.3630946798571, 792.6272768458073, 791.9501246922056, 791.2142566966296, 791.7834299857506, 791.7834299857506, 791.0018963314816]]",[795.7882377490056],127.67947351932526,14.186608168813917,237.68613708019257,607.3592799901962,3
30,30,[2811.0],2811.0,[871.8326029777527],871.8326029777527,"[[377.6559280615094, 377.6559280615094, 379.0118731649445, 379.0118731649445, 379.49044783762344, 379.49044783762344, 379.49044783762344, 378.61325914447315, 378.61325914447315, 378.61325914447315, 378.61325914447315, 378.133574282951, 378.133574282951]]",[378.6559331622748],135.70517563819885,11.308764636516571,238.62029373645782,484.45268535614014,6
31,31,[8149.5],8149.5,[2055.2459400892258],2055.2459400892258,"[[117.65202930676547, 117.65202930676547, 117.32433677630571, 117.32433677630571, 116.37869220780924, 116.70903992407786, 116.70903992407786, 116.70903992407786, 116.37869220780924, 115.43396380615195, 115.43396380615195, 114.49017425089369, 114.49017425089369, 114.49017425089369, 114.16216536138407, 113.21660655575224, 113.21660655575224, 113.21660655575224, 113.21660655575224, 112.27199116431488, 113.21660655575224, 113.21660655575224, 113.21660655575224, 116.05602095539895, 114.79111463872106, 114.79111463872106, 114.79111463872106, 114.48143954370944, 113.22543883774529, 113.22543883774529]]",[114.91625904085686],39.571688771247864,5.653098395892552,125.04742670059204,212.2294957637787,7
32,32,"[27155.0, 77.0]",27232.0,"[3789.6613651514053, 48.79898953437805]",3838.4603546857834,"[[218.55205329623422, 225.44178849538966, 226.01327394646538, 226.01327394646538, 227.52802025245154, 227.17834403833479, 227.17834403833479, 227.17834403833479, 227.771815640127, 226.83253734859116, 226.83253734859116, 227.771815640127, 227.771815640127, 228.11619846034608, 228.11619846034608, 229.40139493908924, 229.40139493908924, 229.7520402520944, 229.7520402520944, 230.10649708341572, 230.10649708341572, 230.46474784660668, 231.39792566053828, 233.62362894193728, 233.98504225697846, 232.69078194032525, 232.69078194032525, 232.69078194032525, 233.8482413874434, 236.07202290826416], [233.33452380648689]]","[229.142672665407, 233.33452380648689]",77.94427394866943,12.990712324778238,116.58342587947845,348.5963497161865,4
33,33,[2140.0],2140.0,[650.7716399431229],650.7716399431229,"[[326.3816784073518, 327.47060936823016, 328.4661321963042, 328.4661321963042, 328.4661321963042, 328.4661321963042, 328.5620184987912, 328.5620184987912, 329.5572787847357, 329.6558811852141, 256.26743843102656, 256.7255343747482]]",[316.4205821945089],1.4142135381698608,1.4142135381698608,12.485281229019165,11.404918313026428,1
34,34,[607.0],607.0,[271.52185904979706],271.52185904979706,"[[817.8661259643903, 817.8661259643903, 818.1344632760558, 818.1344632760558, 817.1713406624096, 817.4411293787462, 816.4784136766875]]",[817.584580314105],5.162277698516846,1.0324555397033692,32.97056245803833,61.8165237903595,1
