,ncm_id,ncm_volume,ncm_sur,pore_id,pore_volume,pore_sur
439,36,30095.5,6772.526705145836,453,48.5,49.87005722522736
440,36,30095.5,6772.526705145836,454,36.5,41.17766922712326
441,36,30095.5,6772.526705145836,455,65.5,66.35533845424652
442,36,30095.5,6772.526705145836,456,36.0,46.38477599620819
443,36,30095.5,6772.526705145836,457,51.4,65.47838325500489
444,36,30095.5,6772.526705145836,458,25.5,37.79898953437805
445,36,30095.5,6772.526705145836,459,24.0,45.28427076339722
446,36,30095.5,6772.526705145836,460,24.5,32.55634891986847
447,36,30095.5,6772.526705145836,461,24.0,45.28427076339722
448,36,30095.5,6772.526705145836,462,24.5,32.55634891986847
449,36,30095.5,6772.526705145836,463,48.5,44.69848430156708
450,36,30095.5,6772.526705145836,464,26.25,39.29898953437805
451,36,30095.5,6772.526705145836,465,29.5,32.051442662874855
452,36,30095.5,6772.526705145836,466,26.7,35.19310202598572
453,36,30095.5,6772.526705145836,467,24.5,32.62741661071777
454,36,30095.5,6772.526705145836,468,32.625,45.06675645709038
455,36,30095.5,6772.526705145836,469,25.25,36.05634891986847
456,38,13383.5,2355.069314837456,480,43.833333333333336,53.84636799494425
457,38,13383.5,2355.069314837456,471,14.0,29.97056245803833
458,38,13383.5,2355.069314837456,472,36.0,59.76955199241638
459,38,13383.5,2355.069314837456,473,11.5,30.071067690849304
460,38,13383.5,2355.069314837456,474,36.0,58.11269783973694
461,38,13383.5,2355.069314837456,475,29.666666666666668,46.76548779010773
462,38,13383.5,2355.069314837456,476,27.5,31.38477599620819
463,38,13383.5,2355.069314837456,477,41.0,44.79898953437805
464,38,13383.5,2355.069314837456,478,28.5,31.79898953437805
465,38,13383.5,2355.069314837456,479,54.0,59.28427076339722
466,39,4133.5,1030.3473217487335,481,35.666666666666664,37.58003815015157
467,41,1258.5,559.8721451759338,483,59.0,49.62741661071777
468,41,1258.5,559.8721451759338,484,38.8,44.178888487815854
469,42,200.0,107.911687374115,485,25.0,38.79898953437805
470,43,8448.0,2117.393127799034,486,25.0,27.071067690849304
471,43,8448.0,2117.393127799034,487,46.0,35.97056245803833
472,43,8448.0,2117.393127799034,488,48.0,60.455843687057495
473,43,8448.0,2117.393127799034,489,25.5,43.38477599620819
474,43,8448.0,2117.393127799034,490,55.0,60.455843687057495
475,43,8448.0,2117.393127799034,491,19.0,35.97056245803833
476,43,8448.0,2117.393127799034,492,36.5,53.662950456142426
477,43,8448.0,2117.393127799034,493,23.5,34.55634891986847
478,43,8448.0,2117.393127799034,494,60.5,73.94112491607666
479,43,8448.0,2117.393127799034,495,14.0,28.313708305358887
